,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
44,5,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3
45,5,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
46,5,3,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3
47,5,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
48,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,4
49,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,4
50,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,1
51,5,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1
52,0,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3
53,5,3,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
54,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5
55,0,3,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,3
56,2,0,3,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,0,1
57,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,1
58,5,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,1
59,5,3,4,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,5,4
60,4,0,3,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
61,0,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3
62,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
63,0,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
64,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
65,2,2,4,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,2,0,1
66,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1
67,2,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,1
68,5,3,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1
69,5,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5
70,2,0,9,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0
71,0,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
72,2,0,9,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
73,5,3,4,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,4
74,0,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1
75,2,2,9,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0
76,5,2,8,1,3,1,1,1,5,1,1,2,2,7,7,0,2,1,4,6,4,0
77,2,3,4,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,5,4
78,5,3,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,4,5
79,2,3,4,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,1
80,5,2,4,0,5,1,1,0,4,1,3,0,2,7,7,0,2,1,0,3,3,1
81,5,3,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,3,1
82,2,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,5,5
83,5,0,3,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,3,1
84,5,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,1
85,5,2,4,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,2,3,1
86,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
87,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
88,2,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,1
89,4,0,4,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,5
90,5,0,4,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,5,5
91,0,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1
92,5,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1
93,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3
94,5,2,4,0,5,1,1,0,5,1,3,2,2,7,7,0,2,1,0,3,0,1
95,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
96,2,3,4,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,3,1
97,5,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1
98,0,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
99,5,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1
100,5,0,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,3,1
101,0,2,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1
102,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,1
103,5,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,5,4
104,0,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1
105,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3
106,5,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,1
107,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3
108,0,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
109,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,3
110,5,2,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1
111,4,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,5,5
112,5,0,8,1,0,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0
113,5,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3
114,5,3,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,4,5
115,5,3,9,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,3,1
116,4,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,5,5
117,5,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,1
118,5,2,9,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0
119,4,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,5,5
120,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,1
121,5,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
122,2,3,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,1
123,2,2,3,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,0,1
124,5,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
125,5,2,8,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,2,3,1
126,0,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,1
127,2,0,3,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,3,0,1
128,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1
129,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3
130,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
131,0,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,3
132,2,2,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0
133,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3
134,2,2,8,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0
135,5,3,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,4,5
136,2,0,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
137,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
138,5,2,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,1
139,0,2,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,1
140,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4
141,0,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3
142,4,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
143,2,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4
144,5,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,1
145,5,0,3,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,2,3,1
146,2,0,8,0,5,1,1,0,4,1,3,2,0,7,7,0,2,1,0,3,0,1
147,5,3,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
148,0,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,1
149,0,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3
150,5,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
151,5,2,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,3,0,1
152,5,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
153,4,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5
154,5,2,8,1,0,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0
155,5,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,1
156,0,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1
157,5,3,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1
158,0,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3
159,0,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1
160,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3
161,0,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1
162,5,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,5,5
163,2,3,4,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,1
164,5,3,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1
165,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,4
166,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
167,0,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,3
168,5,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,1
169,0,2,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1
170,5,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,5,5
171,0,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1
172,5,0,9,1,3,1,1,1,5,1,1,2,2,7,7,0,2,1,4,6,4,0
173,0,3,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
174,2,3,9,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,3,3,1
175,0,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3
176,0,3,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,3
177,0,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
178,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
179,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1
180,5,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5
181,4,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,5,5
182,2,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,4,5
183,5,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
184,2,3,4,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,4
185,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,1
186,0,2,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
187,2,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,5
188,0,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1
189,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,4
190,5,0,8,0,5,1,1,0,7,1,3,2,0,7,7,0,2,1,0,2,3,1
191,5,2,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
192,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,3
193,2,2,9,1,0,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
194,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3
195,2,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,5,5
196,0,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1
197,5,2,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
198,5,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3
199,2,2,8,1,0,1,1,1,5,1,1,2,2,7,7,0,2,1,4,3,4,0
200,5,3,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
201,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
202,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,1
203,5,0,8,0,5,1,1,0,3,1,3,0,2,7,7,0,2,1,0,2,3,1
204,2,3,4,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,5,4
205,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
206,0,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
207,0,2,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3
208,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
209,0,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1
210,5,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
211,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3
212,5,0,9,1,0,1,1,1,5,1,1,2,2,7,7,0,2,1,4,3,4,0
213,5,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,5,5
214,2,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,1
215,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3
216,5,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1
217,5,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1
218,5,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
219,4,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5
220,5,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3
221,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,1
222,5,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,1
223,2,0,8,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0
224,5,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3
225,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1
226,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1
227,5,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
228,5,3,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,5
229,0,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
230,5,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,5,5
231,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,5
232,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,4
233,2,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5
234,0,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1
235,5,0,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
236,5,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
237,0,3,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
238,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,3,1
239,2,3,9,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,4
240,2,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4
241,5,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
242,5,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
243,5,2,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,4,5
244,2,0,8,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0
245,5,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
246,5,2,8,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0
247,5,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3
248,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4
249,5,2,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,3,1
250,2,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,1
251,5,2,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,3,1
252,4,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,4,5
253,0,3,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,3
254,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
255,0,3,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3
256,2,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
257,5,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3
258,0,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,1
259,0,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
260,2,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,1
261,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,1
262,5,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
263,5,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3
264,2,0,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0
265,2,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,4,5
266,2,2,3,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,2,0,1
267,5,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
268,0,2,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3
269,2,3,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,3,5
270,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3
271,2,2,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,4,5
272,5,3,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1
273,5,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3
274,2,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,4
275,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,4
276,2,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,1
277,5,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
278,2,0,4,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,2,3,1
279,5,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3
280,5,3,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,3,1
281,0,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3
282,4,0,4,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5
283,5,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3
284,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3
285,2,3,4,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,3,1
286,0,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3
287,0,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1
288,5,3,4,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,4
289,2,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,5,5
290,5,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,5,5
291,0,3,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1
292,5,2,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3
293,0,3,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1
294,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3
295,0,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
296,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3
297,5,0,3,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,2,3,1
